Accession Number,Transcript Id,FPKM Value
NW_006431956.1,10176,34.17
NW_006431956.1,10177,3.81
NW_006431956.1,10178,6.56
NW_006431956.1,10179,8.4
NW_006429782.1,1018,4.39
NW_006431956.1,10180,7.71
NW_006431956.1,10181,3.55
NW_006431956.1,10182,4.71
NW_006431956.1,10183,0.0
NW_006431956.1,10184,1.97
NW_006431956.1,10185,2.6
NW_006431956.1,10186,4.12
NW_006431956.1,10187,4.26
NW_006431956.1,10188,4.65
NW_006431956.1,10189,3.5
NW_006429782.1,1019,8.5
NW_006431956.1,10190,0.0
NW_006431956.1,10191,1.09
NW_006431956.1,10192,4.44
NW_006431956.1,10193,5.7
NW_006431956.1,10194,4.69
NW_006431956.1,10195,5.4
NW_006431956.1,10196,8.7
NW_006431956.1,10197,3.52
NW_006431956.1,10198,7.19
NW_006431956.1,10199,3.54
NW_006429596.1,102,8.64
NW_006429782.1,1020,5.67
NW_006431956.1,10200,2.23
NW_006431956.1,10201,5.48
NW_006431956.1,10202,7.39
NW_006431956.1,10203,9.06
NW_006431956.1,10204,1.96
NW_006431956.1,10205,2.25
NW_006431956.1,10206,1.51
NW_006431956.1,10207,5.39
NW_006431956.1,10208,7.19
NW_006431956.1,10209,3.31
NW_006429782.1,1021,0.0
NW_006431956.1,10210,5.47
NW_006431956.1,10211,2.88
NW_006431956.1,10212,4.54
NW_006431956.1,10213,6.56
NW_006431956.1,10214,10.24
NW_006431956.1,10215,6.94
NW_006431956.1,10216,3.93
NW_006431956.1,10217,4.86
NW_006431956.1,10218,6.33
NW_006431956.1,10219,2.84
NW_006429782.1,1022,4.93
NW_006431956.1,10220,3.93
NW_006431956.1,10221,5.76
NW_006431956.1,10222,2.31
NW_006431956.1,10223,4.51
NW_006431956.1,10224,8.13
NW_006431956.1,10225,5.19
NW_006431956.1,10226,0.0
NW_006431956.1,10227,6.83
NW_006431956.1,10228,2.4
NW_006431956.1,10229,8.98
NW_006429782.1,1023,3.79
NW_006431956.1,10230,6.23
NW_006431956.1,10231,6.79
NW_006431956.1,10232,10.71
NW_006431956.1,10233,9.09
NW_006431956.1,10234,6.02
NW_006431956.1,10235,3.61
NW_006431956.1,10236,6.8
NW_006431956.1,10237,3.14
NW_006431956.1,10238,6.82
NW_006431956.1,10239,5.03
NW_006429782.1,1024,4.12
NW_006431956.1,10240,5.73
NW_006431956.1,10241,6.83
NW_006431956.1,10242,6.66
NW_006431956.1,10243,8.69
NW_006431956.1,10244,0.0
NW_006431956.1,10245,0.0
NW_006431956.1,10246,0.0
NW_006431956.1,10247,2.43
NW_006431956.1,10248,5.8
NW_006431956.1,10249,3.87
NW_006429782.1,1025,3.07
NW_006431956.1,10250,5.4
NW_006431956.1,10251,4.02
NW_006431956.1,10252,1.75
NW_006431956.1,10253,3.12
NW_006431956.1,10254,5.4
NW_006431956.1,10255,1.67
NW_006431956.1,10256,2.35
NW_006431956.1,10257,2.82
NW_006431956.1,10258,2.91
