Accession,FPKM
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906890.1,0.64
XM_015585566.1,17.17
XM_015585568.1,5.15
XM_006906905.1,2.52
XM_006906905.1,2.33
XM_006906905.1,2.96
,,,
XM_015585570.1,13.22
,,,
XM_006906902.2,4.59
XM_006903881.1,0.77
,,,
,,,
XM_006906901.2,10.03
XM_006906900.2,5.19
XM_006906900.2,3.74
XM_015585558.1,1.89
XM_006906896.2,6.14
XM_006906896.2,18.0
XM_006906896.2,0.0
XM_015585558.1,0.0
XM_006906896.2,13.68
,,,
XM_006906893.2,63.92
XM_006906894.2,19.98
XM_006906892.2,64.49
XM_006906890.1,8.35
XM_006906890.1,72.97
XM_015585553.1,0.0
XM_006906911.2,11.5
XM_006906908.2,4.65
XM_015585568.1,1.84
XM_006906904.2,63.42
,,,
XM_015585568.1,2.13
XM_006906902.2,0.0
XM_006906902.2,0.0
XM_006906902.2,3.34
XM_006906902.2,3.06
XM_006906902.2,5.69
XM_006906902.2,4.73
XM_006906897.2,69.38
XM_015585554.1,3.48
XM_006906905.1,0.91
,,,
XM_006906913.2,14.97
XM_006906913.2,7.64
XM_006906914.2,12.44
XM_006906914.2,54.88
XM_006906902.2,2.65
XM_006906939.2,6.84
XM_006906939.2,0.68
XM_006906941.2,6.95
XM_006906941.2,2.79
XM_006906945.2,6.34
,,,
XM_006906945.2,5.12
XM_006906955.2,2.2
XM_006906955.2,10.81
XM_006906955.2,0.0
XM_006906958.2,8.45
XM_006906958.2,0.0
XM_006906958.2,5.6
XM_015585613.1,4.2
XM_015585613.1,4.2
XM_015585614.1,1.49
,,,
XM_015585614.1,1.49
XM_015585613.1,7.3
XM_015585613.1,10.01
XM_015585630.1,39.86
XM_015585586.1,17.55
XM_006906971.2,0.21
XM_006906971.2,28.98
XM_015585595.1,27.82
XM_015585595.1,0.93
XM_015585595.1,31.83
XM_015586029.1,0.0
XM_015585595.1,26.66
XM_015585668.1,25.23
XM_015585668.1,1.46
XM_006906978.2,2.26
XM_006906978.2,1.39
XM_006906977.2,4.32
XM_015585602.1,4.47
XM_015585632.1,7.74
XM_015585632.1,1.62
XM_015585632.1,3.61
,,,
XM_015585675.1,27.38
XM_006906981.2,10.99
XM_006906981.2,2.63
XM_006906981.2,0.0
XM_006906981.2,1.15
XM_006906982.2,19.98
XM_006906982.2,6.79
XM_006906984.2,32.4
XM_006906985.2,5.14
XM_006906985.2,48.06
,,,
XM_015585634.1,4.87
XM_015585634.1,5.25
XM_015585634.1,4.82
XM_015585634.1,3.99
XM_015585634.1,4.8
XM_015585634.1,0.0
XM_015585634.1,2.36
XM_015585634.1,2.57
XM_015585634.1,3.09
XM_015585634.1,3.21
,,,
XM_015585634.1,7.12
XM_006906987.2,2.09
XM_015585682.1,3.61
XM_015585682.1,4.25
XM_006906997.2,4.68
XM_006906997.2,7.26
XM_006906997.2,0.92
XM_006906999.2,0.0
XM_006906999.2,12.46
XM_006906999.2,3.05
XM_006903862.2,11.61
,,,
XM_006907005.2,25.18
,,,
XM_006907004.2,33.9
XM_015585643.1,14.19
XM_015585643.1,1.73
XM_015585643.1,1.38
XM_015585642.1,11.94
