Accession,FPKM
,,,
XM_015586803.1,1.42
XM_006903855.2,7.52
XM_006904030.2,6.85
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585363.1,4.42
XM_006904030.2,6.75
,,,
,,,
XM_006906628.2,7.05
,,,
XM_015585425.1,1.91
XM_015585376.1,0.0
,,,
,,,
,,,
XM_006906618.1,6.08
XM_015585952.1,7.45
XM_006906618.1,2.39
XM_006906618.1,0.79
XM_006906618.1,11.58
XM_006906618.1,6.81
XM_006906618.1,8.36
XM_006906620.2,8.53
XM_006906621.2,2.77
XM_015585437.1,2.18
XM_006906628.2,15.94
XM_015585436.1,12.12
XM_015585950.1,0.94
XM_015585436.1,25.14
XM_015585436.1,13.55
XM_006906628.2,12.91
XM_015585436.1,1.16
XM_015585373.1,8.4
XM_015585373.1,41.43
XM_015585355.1,12.15
XM_006906635.2,10.6
XM_015585467.1,2.69
XM_006906764.2,306.99
XM_015585950.1,3.73
XM_015585447.1,1.99
XM_015585447.1,9.24
XM_015585447.1,3.89
XM_015585447.1,1.1
XM_015585447.1,4.96
XM_015585447.1,9.32
XM_015585447.1,6.0
XM_006906641.2,74.0
XM_006906645.2,42.39
XM_015585378.1,7.33
XM_015585950.1,2.28
XM_015585378.1,0.0
XM_015585378.1,4.36
XM_015585378.1,3.69
XM_015585378.1,4.24
XM_015585378.1,1.04
XM_015585439.1,4.4
XM_015585439.1,13.15
XM_015585441.1,6.02
XM_015585441.1,6.02
XM_015585439.1,13.15
,,,
XM_006906652.2,4.58
XM_006906653.2,95.59
XM_015585426.1,0.0
XM_006906657.2,5.2
XM_015585431.1,27.8
XM_006906656.2,18.6
XM_015585426.1,3.23
XM_015585425.1,0.0
XM_015585362.1,7.82
XM_006906666.2,14.26
XM_015599195.1,1.76
XM_006906666.2,0.66
XM_006906670.2,39.87
XM_006906670.2,0.0
XM_006906670.2,19.2
XM_015585444.1,23.82
XM_015585444.1,1.83
XM_015585444.1,2.75
XM_015585444.1,2.64
XM_015585466.1,8.39
XM_015585466.1,5.39
,,,
XM_015585466.1,6.95
XM_015585466.1,1.01
XM_015585466.1,0.0
XM_015585466.1,8.81
XM_015585466.1,9.28
XM_015585466.1,5.34
XM_015585465.1,3.87
XM_015585463.1,4.79
XM_006906678.2,8.56
XM_006906678.2,2.44
,,,
XM_006906678.2,4.43
XM_006906678.2,8.67
XM_006906684.2,8.16
XM_006906684.2,4.05
XM_006906684.2,11.25
