Accession,FPKM
XM_015585696.1,7.65
XR_001516451.1,0.97
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516459.1,2.11
,,,
,,,
,,,
"100.00
",1.34
XR_001516453.1,3.36
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006903855.2,10.85
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516453.1,4.35
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907089.2,33.87
,,,
,,,
XM_015585717.1,4.32
XM_015585717.1,14.07
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585701.1,7.28
XM_015585701.1,6.52
,,,
,,,
,,,
,,,
XM_006907096.2,1.84
XM_006907096.2,7.84
XM_006907096.2,2.52
,,,
XM_015585704.1,22.87
XM_015585704.1,17.74
,,,
XM_015585705.1,17.16
,,,
,,,
,,,
,,,
,,,
XM_015585708.1,3.58
XM_015585708.1,1.29
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516459.1,2.17
XM_006907129.2,3.07
,,,
XM_015585722.1,17.46
XM_015600332.1,1.15
XM_015585722.1,15.93
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907106.2,0.0
,,,
,,,
XM_015600332.1,2.82
,,,
,,,
,,,
XM_006907109.2,0.0
,,,
XM_015585731.1,11.9
XM_015585731.1,6.78
,,,
,,,
XM_006907112.2,7.93
XM_015600332.1,4.22
XM_015585732.1,7.08
XM_015585732.1,13.25
XM_015585732.1,8.18
XM_015585732.1,0.0
,,,
XM_006907117.2,6.3
XM_006907117.2,4.51
XM_006907121.2,74.02
,,,
,,,
XM_006903855.2,10.05
XM_015600332.1,3.59
,,,
,,,
"100.00
",0.0
XM_006907124.2,0.0
XM_006907126.2,6.02
XM_006907126.2,9.71
XM_006907126.2,6.3
XM_006907126.2,4.67
XM_006907133.2,11.1
,,,
XM_015600332.1,5.05
,,,
,,,
,,,
XM_006907127.2,6.93
