Accession,FPKM
XM_015585595.1,21.36
XM_015585668.1,23.92
XM_006906978.2,6.83
XM_006906978.2,3.34
XM_015585632.1,6.39
XM_015585632.1,0.17
XM_015585632.1,0.93
,,,
XM_015585632.1,0.9
XM_015585632.1,3.42
XM_015585632.1,0.0
XM_015585675.1,21.29
XM_015585675.1,0.0
XM_006906981.2,12.29
XM_006906981.2,1.74
XM_006906981.2,0.0
XM_006906982.2,20.05
XM_006906982.2,4.43
XM_006903881.1,5.95
,,,
XM_006906984.2,17.9
XM_006906985.2,54.65
XM_015585634.1,0.0
XM_015585634.1,3.59
XM_015585634.1,6.26
XM_015585634.1,0.0
XM_015585634.1,4.32
XM_015585634.1,6.32
XM_015585634.1,2.87
XM_015585634.1,3.93
,,,
XM_015585634.1,6.25
XM_015585634.1,5.06
XM_015585634.1,3.34
XM_015585634.1,4.9
XM_006906987.2,3.61
XM_015585682.1,1.21
XM_015585682.1,6.69
XM_015585682.1,6.06
XM_006906997.2,9.17
XM_015585598.1,4.07
XM_015599626.1,3.98
XM_006906999.2,1.48
XM_006906999.2,16.3
XM_006906999.2,1.51
XM_006907004.2,22.86
XM_015585642.1,1.15
XM_015585643.1,16.16
XM_015585642.1,1.85
XM_015585643.1,0.39
XM_015585642.1,12.24
XM_015585677.1,7.89
,,,
XM_006907018.2,1.13
XM_015585679.1,1.4
XM_015585677.1,2.93
XM_006907017.2,8.85
XM_006907022.2,12.36
XM_006907024.2,20.14
XM_006907027.2,11.63
XM_006907022.2,0.0
XM_006907025.2,2.57
XM_006907021.2,14.22
,,,
XM_006907032.2,12.36
XM_006907031.2,0.73
XM_006907032.2,0.0
XM_006907031.2,13.14
XM_006906937.2,86.61
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906938.2,2.67
,,,
,,,
XM_006906941.2,3.08
XM_006906941.2,5.53
XM_006906941.2,1.93
XM_006906941.2,2.28
XM_006906941.2,10.08
XM_006906941.2,4.51
XM_006906944.2,0.0
XM_015599626.1,35.78
,,,
,,,
XM_006906945.2,4.51
,,,
,,,
XM_006906947.2,5.03
,,,
,,,
,,,
,,,
,,,
XM_006906950.2,4.89
XM_006906950.2,3.79
XM_006906951.2,1.37
,,,
,,,
,,,
XM_006906955.2,5.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906956.2,4.52
XM_006906957.2,6.71
,,,
,,,
,,,
,,,
XM_015585593.1,5.0
XM_015585593.1,9.22
XM_015585593.1,5.78
,,,
"100.00
",3.11
"100.00
",5.45
XR_001516448.1,4.31
XR_001516448.1,1.4
,,,
XM_006903881.1,38.75
,,,
XM_006907040.2,2.75
XM_006907040.2,7.85
XM_006907040.2,4.24
XM_006907040.2,7.95
XM_006907040.2,6.63
XM_006907040.2,4.64
,,,
XM_006906958.2,8.91
XM_006906958.2,11.86
XM_015585583.1,6.14
,,,
XM_015585583.1,5.99
XM_015585583.1,8.3
XM_015585583.1,5.15
,,,
,,,
,,,
XR_001516433.1,5.22
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585628.1,7.98
XM_015585628.1,4.27
XM_015585628.1,4.95
XM_015585628.1,4.35
XM_015585628.1,3.4
XM_006906965.2,0.63
,,,
,,,
,,,
,,,
,,,
XM_006907042.1,3.85
XM_006907042.1,4.26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"96.97
",1.15
,,,
,,,
,,,
,,,
,,,
XM_006908171.2,10.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585586.1,0.0
XM_006906971.2,10.27
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585595.1,2.2
,,,
XM_006904037.2,5.41
,,,
,,,
,,,
,,,
,,,
"100.00
",5.83
"100.00
",3.66
"100.00
",4.64
,,,
,,,
XM_006904041.2,0.0
XM_006906976.2,0.0
,,,
XM_006906976.2,12.28
XM_006906976.2,11.57
XM_006906976.2,4.79
,,,
,,,
,,,
XM_006906978.2,5.4
XM_006906978.2,4.84
,,,
,,,
,,,
,,,
XM_015585631.1,8.91
XM_015585632.1,9.08
XM_015585632.1,2.15
,,,
,,,
XM_015585632.1,4.46
XM_015585675.1,21.24
XM_006903881.1,3.1
XM_015599913.1,11.24
XM_015585675.1,22.8
XM_006906981.2,15.98
XM_006906981.2,12.24
,,,
,,,
XM_006906983.2,5.86
,,,
,,,
,,,
XM_006906984.2,8.45
,,,
,,,
XM_015585634.1,0.0
XM_006906988.2,1709.52
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906988.2,15.22
XM_015600034.1,15.88
XM_006906988.2,4.3
,,,
,,,
,,,
,,,
XM_006906989.2,13.56
XM_015585664.1,3.11
,,,
XM_006906997.2,6.72
,,,
,,,
,,,
XM_015585651.1,2.7
XM_006906997.2,5.06
XM_006906997.2,8.3
XM_006906997.2,10.4
,,,
,,,
,,,
,,,
,,,
XM_015600034.1,3.84
,,,
,,,
,,,
XM_015585598.1,1.75
XM_015585598.1,3.2
XM_015585599.1,4.3
XM_006907056.2,5.33
XM_006907056.2,6.61
XM_006907056.2,3.29
,,,
XM_015600034.1,13.54
,,,
XM_015585662.1,0.0
XM_006907008.2,20.49
,,,
XM_015585600.1,6.07
XM_015585600.1,7.37
XM_015585600.1,5.61
XM_015585600.1,5.34
,,,
XM_015585626.1,5.51
,,,
XM_015585621.1,8.34
XM_015585621.1,0.0
XM_015585621.1,3.61
XM_015585642.1,10.23
XM_015585642.1,22.31
XM_015585642.1,0.0
XM_015585642.1,0.0
XM_015585604.1,6.39
XM_015585581.1,6.42
XM_015585581.1,6.37
,,,
XM_015585581.1,4.87
XM_015585581.1,6.54
XM_006907020.1,0.0
,,,
,,,
,,,
,,,
XM_015585671.1,15.1
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907031.2,3.51
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906998.2,0.0
,,,
,,,
XR_001516433.1,4.71
XM_006907040.2,7.9
XM_015585682.1,0.0
XM_006906938.2,14.4
XM_006903881.1,2.6
,,,
XM_006906938.2,1.65
XM_006906938.2,0.0
XM_006906938.2,1.94
XM_006906938.2,0.0
XM_006906938.2,1.28
XM_006906938.2,9.98
XM_006906940.2,21.17
XM_006906940.2,2.8
XM_006906940.2,24.79
,,,
XM_015600074.1,1.19
XM_006906944.2,15.22
XM_006906944.2,12.09
XM_006906944.2,19.74
XM_006906944.2,19.17
XM_015585612.1,17.54
XM_006906947.2,13.51
XM_006906947.2,0.42
XM_006906950.2,55.79
XM_006906950.2,3.29
XM_006906950.2,0.0
,,,
XM_006906952.2,6.57
XM_006906951.2,7.38
XM_006906951.2,0.0
XM_006906955.2,0.0
XM_006906956.2,3.47
XM_006906956.2,6.8
XM_006906956.2,208.34
XM_006906957.2,6.63
XM_006906957.2,8.05
XM_015585593.1,3.95
,,,
XR_001516448.1,3.0
XM_006907040.2,0.0
XM_015585587.1,2.53
XM_006906959.2,8.68
XR_001516432.1,2.09
XR_001516433.1,0.0
XM_015585616.1,6.37
XM_015585616.1,7.68
XM_015585616.1,5.28
XM_006906963.2,4.2
,,,
XM_015585628.1,3.36
XM_015585627.1,2.47
XM_015585627.1,2.24
XM_015585628.1,7.85
XM_006906966.2,44.46
XM_006907042.1,5.95
XM_006907042.1,4.07
XM_006907042.1,3.25
XM_006906968.2,11.79
XM_006906967.2,8.77
"100.00
",1.08
XM_006906967.2,4.17
XM_015585673.1,0.0
XM_015585659.1,2.0
XM_015585659.1,7.04
XM_015585659.1,8.43
XM_015585659.1,0.0
XM_015585659.1,2.13
XM_006907046.2,9.23
,,,
XM_006906975.2,28.51
,,,
XM_006906975.2,2.84
XM_006906975.2,0.0
"100.00
",6.33
XM_015585660.1,3.66
XM_006906976.2,6.48
XM_015585661.1,1.33
XM_006906976.2,8.77
XM_015585631.1,6.92
XM_006906983.2,8.35
XM_006906983.2,5.95
,,,
XM_006906983.2,7.62
XM_006906983.2,0.0
XM_006906988.2,2499.89
XM_006906988.2,12.91
XM_006906988.2,5.39
XM_006906988.2,7.38
XM_006906989.2,2.35
XM_006906998.2,1.3
XM_006906998.2,0.33
XM_006906998.2,6.74
,,,
,,,
XM_015585588.1,4.0
XM_006907056.2,1.04
XM_006907056.2,7.97
XM_006907056.2,0.0
XM_006907056.2,1.71
XM_006907056.2,4.36
XM_006907000.2,6.27
XM_006907000.2,3.28
XM_006907000.2,31.16
,,,
XM_006907001.2,10.87
XM_015585623.1,3.32
XM_015585620.1,7.07
XM_015585621.1,7.59
XM_015585621.1,3.7
XM_015585623.1,4.74
XM_015585621.1,3.36
XM_015585621.1,5.66
XM_015585621.1,7.19
XM_015585621.1,3.0
XM_006903864.2,12.21
,,,
XM_015585581.1,6.06
XM_006907016.2,3.31
XM_006907016.2,3.02
XM_006907020.1,8.88
XM_006907020.1,2.79
XM_006907029.2,18.72
XM_006907030.2,4.45
XM_006907033.2,66.82
XM_006907056.2,5.34
XM_015585593.1,2.47
,,,
XM_006915775.2,3.17
,,,
,,,
XM_015585688.1,4.03
XM_015585684.1,6.03
XM_015585684.1,27.21
XM_015585684.1,5.44
XM_015585684.1,3.06
XM_015585686.1,14.81
XM_015585686.1,5.66
XM_015600230.1,13.26
XM_015585688.1,143.8
XM_015585688.1,171.26
XM_015585688.1,5.4
"100.00
",25.83
,,,
XM_006907072.2,9.23
XM_006907072.2,1.97
XM_006907072.2,2.42
XM_006907072.2,0.0
XM_006907073.2,5.69
,,,
XM_006907073.2,46.1
XM_015585712.1,1.1
XM_015585693.1,9.68
XM_015585693.1,13.47
XM_015585693.1,11.44
XM_015585693.1,13.71
XM_015585693.1,3.7
XM_015585693.1,16.49
XM_015585693.1,17.33
XM_015585693.1,1.08
XM_006904048.2,7.7
XM_015585693.1,3.33
XM_015585696.1,11.85
XM_015585696.1,6.75
XM_015585696.1,3.27
XM_015585696.1,5.56
XM_015585696.1,1.94
XM_015585696.1,7.83
XM_006907081.2,22.92
XM_006907081.2,8.44
XM_006907081.2,22.11
,,,
XM_015585717.1,12.18
XM_006907096.2,10.46
XR_001516450.1,10.8
XM_015585702.1,9.86
XM_015585702.1,0.0
XM_015585702.1,1.6
XM_015585714.1,2.34
XM_015585714.1,5.94
XM_015585714.1,1.58
XM_015585714.1,4.22
,,,
XM_015585714.1,1.5
XM_015585706.1,46.78
XM_015585708.1,3.69
XM_015585708.1,173.41
XM_015585708.1,7.18
XM_015585708.1,4.78
,,,
XM_015585711.1,3.45
XM_006907081.2,18.13
XM_015585714.1,5.0
,,,
XM_015585693.1,1.74
XM_015585700.1,10.14
XM_015585701.1,1.02
XM_015585713.1,5.94
XM_015585711.1,0.0
XM_015585711.1,9.46
XM_006907075.2,11.93
XM_015585712.1,4.04
XM_015585711.1,0.91
XM_006907077.2,0.0
,,,
XM_006907077.2,13.3
XR_001516459.1,2.06
XR_001516459.1,2.71
XR_001516459.1,2.73
XR_001516453.1,6.25
XR_001516453.1,3.24
XR_001516457.1,1.7
XR_001516453.1,4.52
XR_001516453.1,2.67
XM_015585715.1,1.33
,,,
XM_015585715.1,1.41
XM_015585715.1,48.11
XM_015585715.1,5.26
XM_015585701.1,3.18
XM_015585701.1,5.24
XM_015585701.1,6.02
XM_015585701.1,1.06
XM_006907082.2,24.92
XM_006907082.2,31.21
XM_015585705.1,12.76
XM_006903864.2,8.33
,,,
XM_015585705.1,6.79
XM_015585705.1,12.02
XM_015585705.1,2.77
XM_015585705.1,15.01
XM_015585705.1,29.42
XM_015585705.1,26.74
XM_006907082.2,26.87
,,,
XM_006907072.2,3.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006904178.2,4.25
,,,
,,,
,,,
XM_015585712.1,4.03
,,,
,,,
XM_006907077.2,12.14
,,,
,,,
,,,
XM_006904178.2,7.15
,,,
,,,
,,,
,,,
"100.00
",1.42
,,,
,,,
,,,
XR_001516451.1,2.02
,,,
XM_006904178.2,2.49
XM_006907081.2,4.1
,,,
,,,
,,,
,,,
"100.00
",5.57
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516453.1,5.34
XR_001516453.1,6.03
XR_001516453.1,6.28
,,,
,,,
,,,
,,,
,,,
XM_006904051.2,60.63
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907089.2,28.11
XM_015585717.1,10.88
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"79.21
",10.77
XM_015585701.1,5.41
XM_015585701.1,0.02
,,,
,,,
,,,
,,,
