Accession,FPKM
"100.00
",6.81
"100.00
",4.61
"100.00
",7.89
,,,
XM_006906976.2,0.0
XM_006906976.2,8.39
XM_006906976.2,3.85
XM_006906976.2,5.62
XM_006906978.2,6.02
XM_006906978.2,2.82
,,,
XM_015585602.1,2.68
XM_006906980.2,19.27
,,,
XM_015585632.1,9.55
,,,
XM_015585675.1,30.95
XM_015585675.1,27.84
XM_006906981.2,14.03
XM_006906981.2,4.91
,,,
,,,
XM_006906983.2,0.0
,,,
,,,
XM_006906984.2,20.25
,,,
,,,
,,,
XM_006906987.2,4.18
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906989.2,11.88
XM_015585664.1,2.97
XM_006906997.2,5.31
XM_006906997.2,4.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585598.1,2.4
XM_015585598.1,2.81
XM_015585598.1,2.97
XM_015585598.1,4.83
XM_015585598.1,3.54
,,,
XM_015585598.1,7.94
XM_015585598.1,4.04
XM_006907056.2,8.43
XM_006907056.2,6.47
XM_006907056.2,5.4
XM_015585662.1,0.0
,,,
,,,
,,,
XM_006907005.2,21.39
XM_006904049.2,1.37
,,,
,,,
,,,
XM_015585600.1,5.09
XM_015585600.1,6.4
XM_015585600.1,6.04
XM_015585621.1,3.18
XM_015585621.1,9.52
XM_015585621.1,10.08
XM_015585642.1,11.52
,,,
,,,
XM_015585642.1,21.6
XM_015585642.1,3.72
XM_015585604.1,2.16
XM_015585581.1,7.52
XM_015585581.1,3.25
,,,
XM_006907016.2,7.73
XM_006907017.2,3.29
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907031.2,0.0
"100.00
",5.73
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907019.2,1.75
,,,
,,,
,,,
XM_006906998.2,0.0
XM_006906938.2,16.03
XM_006906938.2,3.85
XM_006906938.2,1.14
XM_006906938.2,12.25
XM_006906940.2,7.91
XM_006904049.2,1.17
XM_006906940.2,24.27
XM_006906944.2,11.02
XM_006906944.2,3.45
XM_006906942.2,0.55
XM_006906944.2,16.45
XM_006906944.2,3.24
XM_015585612.1,13.93
XM_006906947.2,14.75
XM_006906947.2,0.85
XM_006906950.2,4.62
XM_006904178.2,3.47
XM_006906950.2,41.3
XM_006906950.2,4.84
XM_006906950.2,2.1
XM_006906952.2,7.45
XM_006906952.2,5.39
XM_006906952.2,10.73
XM_006906952.2,4.58
XM_006906951.2,4.13
XM_006906956.2,3.41
XM_006906956.2,5.42
XM_006904178.2,7.25
XM_006906956.2,193.5
XM_006906957.2,5.91
XM_006906957.2,7.73
XM_006906957.2,5.48
XM_006906957.2,0.7
,,,
